name,sex,count,year
Magdalena,F,274,2014
Pyper,F,274,2014
Karter,F,273,2014
Kylah,F,273,2014
Ryann,F,273,2014
Abril,F,272,2014
Annalee,F,272,2014
Antonia,F,272,2014
Jocelynn,F,272,2014
Alaysia,F,271,2014
Ireland,F,271,2014
Kailani,F,271,2014
Patience,F,271,2014
Rosalyn,F,271,2014
Tamia,F,271,2014
Aya,F,270,2014
Kai,F,270,2014
Mercedes,F,270,2014
Micah,F,269,2014
Samiyah,F,268,2014
Nala,F,267,2014
Yaritza,F,267,2014
Aanya,F,266,2014
Cordelia,F,266,2014
Paula,F,266,2014
Belen,F,265,2014
Neveah,F,265,2014
Alianna,F,264,2014
Kaya,F,264,2014
Cambria,F,263,2014
Kaelynn,F,263,2014
Natalya,F,263,2014
Charlize,F,260,2014
Rayne,F,260,2014
Adilene,F,259,2014
Jayde,F,259,2014
Jurnee,F,259,2014
Krystal,F,259,2014
Bayleigh,F,258,2014
Brisa,F,258,2014
Esperanza,F,258,2014
Kailynn,F,258,2014
Kyndall,F,257,2014
Princess,F,257,2014
Shannon,F,257,2014
Andi,F,256,2014
Cristina,F,256,2014
Ellery,F,256,2014
Noor,F,256,2014
Devyn,F,255,2014
Honesty,F,255,2014
Kourtney,F,255,2014
Avalyn,F,254,2014
Carina,F,254,2014
Karma,F,254,2014
Nathalia,F,254,2014
Royal,F,254,2014
Vienna,F,253,2014
Fallon,F,252,2014
Raylee,F,252,2014
Ayana,F,251,2014
Belle,F,251,2014
Kaitlin,F,251,2014
Mylah,F,251,2014
Amaris,F,250,2014
Ellianna,F,250,2014
Emani,F,250,2014
Joelle,F,250,2014
Aadhya,F,249,2014
Dani,F,249,2014
Destinee,F,249,2014
Haleigh,F,249,2014
Harmoni,F,249,2014
Lyra,F,249,2014
Promise,F,249,2014
Treasure,F,249,2014
Kaley,F,248,2014
Selina,F,248,2014
Vivien,F,248,2014
Jacquelyn,F,247,2014
Kasey,F,247,2014
Saanvi,F,247,2014
Sarahi,F,247,2014
Charity,F,246,2014
Abbie,F,245,2014
Arden,F,245,2014
Gwyneth,F,245,2014
Jakayla,F,245,2014
Poppy,F,245,2014
Aminah,F,242,2014
Austyn,F,242,2014
Cecily,F,242,2014
Elissa,F,242,2014
Luz,F,241,2014
Robyn,F,241,2014
Aleigha,F,240,2014
Ali,F,240,2014
Bree,F,240,2014
Caydence,F,240,2014
Dalilah,F,240,2014
Kalani,F,239,2014
Berkley,F,238,2014
Campbell,F,238,2014
Ellis,F,238,2014
Kaylen,F,238,2014
Londynn,F,238,2014
Regan,F,238,2014
Carley,F,237,2014
Elora,F,237,2014
Karis,F,237,2014
Ramona,F,237,2014
Carleigh,F,236,2014
Micaela,F,236,2014
Tinley,F,236,2014
Giada,F,235,2014
Jazmyn,F,235,2014
Kinlee,F,235,2014
Romina,F,235,2014
Tess,F,235,2014
Aubriana,F,234,2014
Akira,F,233,2014
Analia,F,233,2014
Deanna,F,233,2014
Kinleigh,F,233,2014
Larissa,F,233,2014
Rhea,F,233,2014
Ashtyn,F,232,2014
Audra,F,232,2014
Kataleya,F,232,2014
Katrina,F,232,2014
Mavis,F,232,2014
August,F,231,2014
Preslee,F,231,2014
Elina,F,230,2014
Kensington,F,230,2014
Saniya,F,230,2014
Jana,F,229,2014
Kamilah,F,229,2014
Karleigh,F,229,2014
Lillyana,F,229,2014
Anais,F,228,2014
Elayna,F,228,2014
Maylee,F,228,2014
Rilynn,F,228,2014
Sylvie,F,228,2014
Ari,F,227,2014
Kinsey,F,227,2014
India,F,226,2014
Ophelia,F,226,2014
Robin,F,226,2014
Veda,F,226,2014
Izabelle,F,225,2014
Kelsie,F,225,2014
Kendal,F,225,2014
Theresa,F,225,2014
Zoya,F,225,2014
Chandler,F,223,2014
Kamille,F,223,2014
Giavanna,F,222,2014
Lillyanna,F,222,2014
Adilynn,F,221,2014
Cheyanne,F,221,2014
Jaleah,F,221,2014
